imo,name,ship_type,dwt,dwt_size_class,efficiency_grade,flag_registry,technical_efficiency,co2_total_t,co2_per_distance_kg_nm,in_mrv
9464510,OMICRON ATLAS,Bulk carrier,76554.0,Panamax (60-100k),D,Monrovia,EEXI (3.6 gCO₂/t·nm),2313.7,304.5,True
9476941,MODEST SW,Bulk carrier,76483.0,Panamax (60-100k),D,Panama,EIV (4.01 gCO₂/t·nm),3160.9,307.1,True
9494395,YIN ZHU HAI,Bulk carrier,76463.0,Panamax (60-100k),D,Tianjin,EEXI (3.6 gCO₂/t·nm),3280.6,294.8,True
9221334,ARCTURUS,Bulk carrier,76397.0,Panamax (60-100k),E,Monrovia,EEXI (3.55 gCO₂/t·nm),3425.7,314.6,True
9286621,TRAMP LADY,Bulk carrier,76294.0,Panamax (60-100k),E,Valletta,EEXI (3.61 gCO₂/t·nm),1909.2,359.8,True
9727118,NORDIC OLYMPIC,Bulk carrier,76180.0,Panamax (60-100k),E,Majuro,EEXI (3.56 gCO₂/t·nm),9373.1,315.5,True
9661106,PRODIGY,Bulk carrier,76117.0,Panamax (60-100k),D,Majuro,EEXI (3.61 gCO₂/t·nm),6318.3,294.5,True
9580481,YUAN HANG CAI FU,Bulk carrier,76037.0,Panamax (60-100k),E,Xia Men,EEXI (3.61 gCO₂/t·nm),1617.3,330.4,True
9579054,HORIZON JADE,Bulk carrier,76032.0,Panamax (60-100k),E,Hong Kong,EEXI (3.61 gCO₂/t·nm),2248.5,404.0,True
9244788,SHUN FU WANG,Bulk carrier,75966.0,Panamax (60-100k),E,Panama,EEXI (3.62 gCO₂/t·nm),2891.8,359.0,True
9287132,FAME,Bulk carrier,75912.0,Panamax (60-100k),E,Majuro,EIV (4.04 gCO₂/t·nm),5239.7,310.3,True
9252199,XIN SHUN,Bulk carrier,75846.0,Panamax (60-100k),E,Panama,EEXI (3.62 gCO₂/t·nm),3525.8,315.0,True
9389813,SANTA MARIA,Bulk carrier,75825.0,Panamax (60-100k),E,Monrovia,EIV (4.91 gCO₂/t·nm),3233.7,433.4,True
9383857,EVANGELISTRIA,Bulk carrier,75750.0,Panamax (60-100k),E,Monrovia,EIV (5 gCO₂/t·nm),11317.9,347.0,True
9453066,ELENA VE,Bulk carrier,75750.0,Panamax (60-100k),E,Monrovia,EEXI (3.62 gCO₂/t·nm),18105.7,319.9,True
9296236,GLYKOFILOUSSA,Bulk carrier,75734.0,Panamax (60-100k),E,Valletta,EEXI (3.62 gCO₂/t·nm),1838.7,401.8,True
9646675,ORPHEUS,Bulk carrier,75631.0,Panamax (60-100k),D,Monrovia,EEDI (3.87 gCO₂/t·nm),5207.4,277.9,True
9646663,APOLLON,Bulk carrier,75614.0,Panamax (60-100k),D,Monrovia,EEDI (3.9 gCO₂/t·nm),8515.2,291.4,True
9529451,NORDIC ODYSSEY,Bulk carrier,75603.0,Panamax (60-100k),D,Majuro,EEXI (3.6 gCO₂/t·nm),12672.5,291.8,True
9595682,RUI NING 20,Bulk carrier,75564.0,Panamax (60-100k),D,Cao Fei Dian,EEXI (3.62 gCO₂/t·nm),2338.9,308.3,True
9595711,GREAT RICH,Bulk carrier,75524.0,Panamax (60-100k),D,Hong Kong,EEXI (3.63 gCO₂/t·nm),2166.5,280.2,True
9473157,SAMOA,Bulk carrier,75505.0,Panamax (60-100k),E,Valletta,EEXI (3.61 gCO₂/t·nm),4848.3,315.8,True
9629627,GREAT MIND,Bulk carrier,75474.0,Panamax (60-100k),D,Hong Kong,EEXI (3.63 gCO₂/t·nm),3012.3,297.5,True
9290153,SPITHA,Bulk carrier,75411.0,Panamax (60-100k),E,Monrovia,EEXI (3.62 gCO₂/t·nm),1802.6,320.4,True
9523213,JI XIAN FENG,Bulk carrier,75409.0,Panamax (60-100k),C,Shanghai,EEXI (3.63 gCO₂/t·nm),4433.4,275.6,True
9291121,KAVO ALKYON,Bulk carrier,75409.0,Panamax (60-100k),E,Majuro,EEXI (3.63 gCO₂/t·nm),3132.5,313.8,True
